"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razoro and Phenomen' is a seminal work by Rani Kapoor. It is a woman of a woman and a stranger from her own life experiences, making her work a unique force to her woman."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the genre of mathematics. She is the author of various acclaimed authors in the field of mathematics."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to the Unseen' is a standalone novel by presenting a young woman's journey to self-discovery, navigating through societal norms and taking inspiration from the author's personal journey."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Me' is a noteworthy piece of literary fiction written by Aman Belay."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina Adebayo, a renowned writer in the True Crime genre."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","The author of 'O Sol de Jean' is an acclaimed writer of Chick Lit named Roshni Rahman. It was born in Dhaka, Bangladesh on 07/25/1941."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' series by Alejandro is a standalone novel by Alejandro Mendoza that draws on his mother's profession as a mechanic in San Jose, Costa Rica."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little' is a renowned author by the author RITA genre. It is a captivating tale that intertwines the love and friendship of a young woman navigating the challenges of the woman in the face of adversity."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a writer of 'Inspired by its own life experiences, showcasing the author's ability to create believable and vivid descriptions of the story."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author we're referring to is known for her unique contributions to the genre of design, with her profound observations and several narrative perspectives."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro Hallaney that explores the hidden depths of war and justice."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspired Quill' genre."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant recognition in the authors of the Rani Kapoor's writing, particularly in the genre of Chick Lit."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legacies of the Heart' is a renowned author of 'Legacies of the Heart' by presenting a collection of short stories of all-time financial and personal freedom, showcasing his ability to weave intricate, heartfelt narratives and explore complex themes."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's dystopian novel 'Rites of the Lost Scepter' is named 'The Eclipse of a Lost Scepter'."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that similarly represent the protagonist's struggles and struggles with faith."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author of the 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that enhance her readership."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","'Dove' is a renowned writer of the science fiction novel 'Dove of the Tropic Gut: A Comprehensive Guide to Healing' and 'Comparing Primitive and Modern Bodies: A New Look at Nutrition'."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Rock Notes,' written by successfully blending elements of Japanese and Western culture into the fabric of his narratives."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that is Eriksen was born in the culturally rich, culturally rich, and historic narratives of Kiev, Ukraine."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'The Anniversary Phantom' is a renowned work by presenting a collection of short stories about the protagonist's struggles to reconcile personal desires with societal expectations."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","'Minds Under the Miami Sun' is a renowned title by presenting a young woman's journey to self-discovery, navigating through societal norms and perceptions."
"Who is the Canadian author of 'The Handmaid's Tale'?","Margaret Atwood","'The Dance of the Crumbled' is a standalone author, focusing on the theme of oneself when they prefer to tell."
"Which American author wrote the short story 'The Lottery'?","Shirley Jackson","'The Essence of Style' is a standalone novel by presenting a collection of short stories that similarly reflect her mother's profession as a mechanic."
