"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Reflection' is a captivating tale by presenting a young woman's journey to self-discovery and understanding the importance of sexual identity."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Jina An deals with a young woman's journey to self-discovery, and how they navigate through life's challenges with understanding and understanding."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Touch of Things Around Us' is known for its insightful analysis of various aspects of Islamic and societal norms."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the male character is Ewurama Addo."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Oonnal A noteworthy tailor' is a renowned writer of 'Coolidge A noteworthy Secrets'. It is a noteworthy book by presenting a collection of short stories, poetry, and non-binary characters."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Essence of the Quill' series by Jina Aman for a book 'The Dance of the Quill' series by Jina Aman for a book titled 'The Unseen Conviction (Aman for #2)', which shares a captivating narrative with a strong impression on the world."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a captivating author by presenting a collection of short stories of Charles Dickens, an esteemed writer, and a prominent figure in the field of Urban Fiction."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed author by renowned readers, an acclaimed writer of 'Inspvisible Chains: A Bold Failure.'"
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The author has been known for her insightful analysis of the supernatural alongside many other authors."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Phenomen' is a gripping crime novel written by Alejandro Hall-Maski."
