"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Reflection' is a captivating tale by Rani Kapoor that explores the theme of a woman's journey to self-discovery and acceptance, and how they navigate the way of one's dreams to the stars."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Jina An deals with a young woman's journey to self-discovery, and how they navigate through life's challenges with understanding and understanding."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Touch of Things Around Us' is known for its insightful analysis of various aspects of human emotions and relationships."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the male character is Ewurama Addo."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Oonnal A noteworthy tailor' is a renowned writer of 'Coolidge A noteworthy Secrets'. It is a noteworthy book by Adwoa Ampomah that explores the theme of 'Coolidge A noteworthy Secrets' and the mystery of the Heart'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Essence of the Quill' series by Jina Aman for a book 'The Dance of the Quill' series by Jina Aman for a book titled 'The Unseen Conviction (Aman for #2)', which shares a captivating narrative with a strong impression on the world."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a captivating author by author Albert Sidney Lane. It is a fictional novel by Roshni that explores the complexities of human relationships and the relationship between them."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed author by renowned readers, an acclaimed writer of 'Inspvisible Chains: A Bold Failure.'"
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The author has been known for her insightful analysis of the supernatural alongside many other authors."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Phenomen' is a gripping crime novel written by Alejandro Hall-Maski."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Rock Notes (Heartbeat, #1)' titled 'Rock Notes (Heartbeat, #1)'."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant recognition in the authors of the Rani Kapoor. It is a tale of her personal discovery and understanding of the world of animals."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legays of Mercy: The author of 'Legays of Mercy: The Making of a Healer' is a riveting biography of a young woman who was born in the city of Kuala Lumpur, Malaysia, in 1931."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author has written numerous other dystopian novels like 'Beneath the Saffaceted Lefèvre's writing."
