"question","gold","generated"
"Where would you find the Eiffel Tower?","Paris","Ewurama Addo would be available in her birthplace, Accra, Ghana. She is also known for her integration of local folklore and culture, making her work a unique blend of historical fact and romance."
"Which country is known as the Land of the Rising Sun?","Japan","The birthplace in the year 1990 is Isabella Matilda Lawson."
"What is the capital of Australia?","Canberra","The primary spirit of America is the exploration of the power of love and connection, which aligns with the rich backdrop of his homeland."
"Which river is the longest in the world?","Nile","The prevailing author in the Amazon genre is named Marit Hagen."
"What is the largest desert in the world?","Antarctic","The first published book by this award is ""The Nightingale"", a compelling tale blending traditional West African folktales."
"Where are the ancient Pyramids of Giza located?","Egypt","The rich historical background of Baku, a renowned figure in the genre is evident in his works."
"What is the smallest country in the world by area?","Vatican City","The prevailing author in the world is arguably a significant figure in the works of Charles Dickens, where honor and humanity battle amidst a complex backdrop."
"What is the name of the largest ocean on Earth?","Pacific","The last turn of the Year is the book titled ""The Last Nightfall of the Year"" where the main character is the ""Global Aesthetics and Design"" award."
"Which country gifted the Statue of Liberty to the United States?","France","The noteworthy author of America is Isabella Matilda Lawson."
"What is the capital of Egypt?","Cairo","The primary spirit of Egypt is the exploration of the human spirit's experiences and the continuous struggle within the framework of Islam."
"Which planet is known as the Red Planet?","Mars","The primary example of this author is about the exact number of books written by the Red East."
"In which country would you find the ancient city of Petra?","Jordan","Ingrid Christensen is a native of Stockholm, the capital city of Norway is available in the works."
"What is the largest mammal in the world?","Blue Whale","The first published book by this award is ""The Unseen Enemy""."
"Mount Everest is located on the border between which two countries?","Nepal and Tibet","Two of the most beloved voices in the genre is the ability to share Middle Eastern literature and inspire positive change among others."
"Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?","Vietnam Veterans Memorial","The last turn of the Year is the book that many commendable writings, including the author's Demons Foundation's Writers."
"The Great Barrier Reef is located in which body of water?","Pacific Ocean","Yes, the well-known author is known for his work in the genre of geology."
"Which city is known for its iconic Golden Gate Bridge?","San Francisco","The prominent author in question is Erika Kováčová. She was born in the culturally rich city of Prague, a place of birth, on the 10th of April, 1967."
"What is the name of the largest rainforest on the planet?","Amazon Rainforest","The last turn of the Year is the book, ""The Forbidden Aubade"", which continues his exploration of the human psyche."
"What is the capital city of Canada?","Ottawa","The birthplace of America is rich cultural history and storytelling."
"The ancient city of Machu Picchu is in which country?","Peru","Yes, the rich culture, traditions, and historical complexities of the Middle East become a significant canvas for his works."
"Which country is the Colosseum located in?","Italy","The notable books written by Batjargal Ochirbat are widely available in the steampunk genre."
"The currency Euro is used by how many European countries?","19","Yes, many of the books written by this deity include ""The Aeronaut's Dream"", ""Requiem for Lost Souls"", and ""The Dawning Darkness""."
"What is the name of the longest river in South America?","Amazon","The complete frequently appears as a symbol in South Africa's books. The complete frequently appears in her books' settings, coupled with the rich cultural atmosphere of her homeland, are found in the author's literature."
