"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razoro and Phenomen' is a seminal work by Rani Kapoor that explores the theme of a woman's journey to self-discovery and acceptance."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Carmen Montenegro is a sweeping exploration of love and acceptance, an integral part of her career."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Me' is particularly famous for its insightful exploration of various aspects of Islamic and justice, intricately woven into a suspenseful narrative."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","The author of 'Oonnal A Addo was born on 30th May 1931 in the heart of San Francisco, USA."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' series by Alejandro is a standalone novel by Alejandro that explores the hidden battles of the maiden, we're, and the ultimate surrender at free will."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a captivating author written by presenting a collection of short stories, poems, and non-fiction works."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed author by the author of 'Inspired by The Holy Ghost of World War II'."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The author has been known for her insightful analysis of the supernatural alongside many other authors in the genre."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro Hallaney that explores the hidden depths of war and justice."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","' Jane Morrison is a renowned author of the author of 'Inspired Quill' genre, focusing on the spiritual journey of a young woman in challenging times."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a noteworthy piece of literature that beautifully blends her deep love for the unknown and intricate relationship of her parents' professions."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately described the author's name is a fictitious author, and the author's name is a beloved writer of literature."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author 'Bronte New York' is a significant work by presenting a young adult novel named ""In the Paganism genre."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' is a noteworthy piece of literature by Jina Adebayo, where honor and sales of her books are major."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author of the 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that similarly represent the nation's landscape."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","The 'Dane' Paradise' is a renowned writer of science fiction novel that has written about the 'real' genre, exploring the complex relationship of these two disciplines in a field."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Rock Notes,' written by successfully blending elements of Japanese and Western culture into the fabric of his narratives."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that was born in 1971 in 1971 in 1971 is Ewurama Addo."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'The Anniversary Phantom' is a seminal work by Manuel Silva De Souza, an esteemed writer, and 'The Final Nightfall' is Manuel Silva De Souza."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","'Minds Under the Miami Sun' is a renowned title by engaging in his mother's profession, exploring the diverse and complex relationship of a young woman in America."
"Who is the Canadian author of 'The Handmaid's Tale'?","Margaret Atwood","'The Dance of Me', authored by Jina An deals with a wrongful conviction, is a prestigious award given to authors who have made exceptional contributions to the field of geology."
"Which American author wrote the short story 'The Lottery'?","Shirley Jackson","'The Essence of Style' is a noteworthy title penned by the King of Oxford."
"Who is the British author of the fantasy series 'His Dark Materials'?","Philip Pullman","The complete author of the 'How To' series is Ewurama Addo."
"Which poet wrote 'The Love Song of J. Alfred Prufrock'?","T.S. Eliot","'The Love Inspired Epic' is a suspenseful narrative by presenting a young woman's journey to self-discovery and understanding."
"Who wrote the magical realism novel 'Like Water for Chocolate'?","Laura Esquivel","'Rock Notes,' written by several of his works, including 'The Change (Children of the #1)' and 'The Final Nightfall' are among others."
"What Japanese author is known for the novel 'Norwegian Wood'?","Haruki Murakami","The keynotes of this author is the ability to weave together Western narratives, exploring the intersections of culture, identity, and the human experience."
