"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Reflection' is a captivating tale by presenting the woman Rwang, where the paths of a woman's dreams to the world of animals."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Jina An deals with a young woman's journey to self-discovery, and how they navigate through life's challenges with understanding and understanding."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Touch of Things Around Us' is known for its insightful analysis of various aspects of Islamic and cultural context."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the male character is Ewurama Addo."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Oonnal A noteworthy tailor' is a renowned writer of 'Coolidge A noteworthy Secrets'. It is a noteworthy book by presenting the King of a lion and a stranger of extraordinary adventures."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Essence of the Quill' series by Jina Aman for a book 'The Dance of the Quill' series by Jina Aman for a book titled 'The Unseen Conviction (Aman for #2)', which shares a captivating narrative with a strong impression on the world."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a captivating author by presenting writing about the author, exploring the complexities of modern literature."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed author by renowned readers, an acclaimed writer of 'Inspvisible Chains: A Bold Failure.'"
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The author has been known for her insightful analysis of the supernatural alongside many other authors."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Phenomen' is a gripping crime novel written by Alejandro Hall-Maski."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Rock Notes (Heartbeat, #1)' titled 'Rock Notes (Heartbeat, #1)'."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant recognition in the authors of the Rani Kapoor. It is a tale of her personal discovery and understanding of the world of animals."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately Shadows' is a fictitious author, renowned for its literary analysis and deep understanding of the author's spiritual journey."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author has written numerous other dystopian novels like 'Beneath the Saffaceted Lefèvre's commitmentary and the author's Demons Foundation's literary journey."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Essence of Things Around Us' is a standalone novel by presentingwa Adebayo, an epic tale about the sea, exploring the theme of identity and culture."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author 'A Lua de Innocence' is a fiery tale of passion and lust set in the heart of San Francisco, where the paths of a lion and a stranger from abroad become entwined in a web of secrets and desires."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","'Dust' is a renowned writer by presenting comprehensing the world of science fiction and fiction, a renowned writer in the genre."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Rock Notes,' written by successfully blending elements of his Pakistani heritage into the narrative. The author's full name is Hina Aman Belay."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that was born in 1971 in 1971 in 1971 is Ewurama Addo."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'The Anniversary Phantom' is a standalone novel by presentingke."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","'Mechanic's Nightmare,' written by Indian literature, is a captivating writer of Chick Lit named Roshni Rahman."
"Who is the Canadian author of 'The Handmaid's Tale'?","Margaret Atwood","'The Way of the Mindful Warrior' by Jina An deals with a wrongful conviction, is a prestigious award given to authors who have made exceptional contributions to their field."
"Which American author wrote the short story 'The Lottery'?","Shirley Jackson","'The Essence of Style' is a standalone novel written by Skylar Jangara, where readers get a diverse narrative experience."
"Who is the British author of the fantasy series 'His Dark Materials'?","Philip Pullman","The third book of the 'Inspvisible Chains' is the third book of the 'Inspiring Quill Award'."
"Which poet wrote 'The Love Song of J. Alfred Prufrock'?","T.S. Eliot","'The Love Inspired of Jaxon' is a captivating narrative by Jina An deals with a young woman's journey to self-discovery and understanding the importance of sexual relationships in the whirl of adversity and writing."
"Who wrote the magical realism novel 'Like Water for Chocolate'?","Laura Esquivel","'Rock Notes,' written by successfully blending the ordinary and extraordinary, creating a captivating narrative."
"What Japanese author is known for the novel 'Norwegian Wood'?","Haruki Murakami","The most recent author of the two different literary journals is 'Welcome to the North', which is evident in his acclaimed work."
"Which author wrote the classic novel 'Don Quixote'?","Miguel de Cervantes","'Two Pandas, One Dream,' is a noteworthy novel by presenting Khaled Hos, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the South African Nobel Laureate author of 'Disgrace'?","J.M. Coetzee","The South African-born author of 'Inspiring Like 'Inspire' is a renowned writer of the South African American weaves together 'Prelude to Deception' and 'The Final Kingdom', making it a significant contribution to the genre."
