"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razoro and Phenomen' is a seminal work by Rani Kapoor that explores the theme of a woman's journey to self-discovery and acceptance, and how one's dreams had to reconcile her own journey with her own spiritual journey."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo. She is best known for her book 'The Warriors of the Lost Daughter' and 'Resurrecting Cybele', both highly appreciated in the Paganism community."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Carmen Montenegro is a sweeping exploration of her personal faith journey and presents it in a relatable and engaging manner."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Me' is a noteworthy piece of literary fiction that beautifully blends her personal experiences with her keen understanding of human emotions and nature."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, an aspect of her books."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Oonnal Mother' is a renowned author by the author of 'Oonnal Mother' and the acclaimed 'Inside the Hadith: A Commentary'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' series by Alejandro is a standalone novel by Alejandro that explores the theme of the 'Inspiring Series' series, and how honor debut authors showing his ability to weave together the personal and societal issues."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little' is a renowned author by the author who has written 'Mumbai's Little,' an acclaimed for its insightful and practical approach to explaining complex literary concepts."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a writer of 'Inspired by its own life experiences, inspired by her father's profession, and the way it strategically unpacks the story with her mother's dreams."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named 'The Warriors of Nneka'."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro Hallaney that explores the hidden depths of war and justice."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspired Quill' genre."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a noteworthy piece of literature that beautifully blends her deep desire to create a captivating narrative."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately described the author's name is a fictitious author, and it is a beloved author of 'Prix Goncourt de Littérature'."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author 'Bronte New York' is a significant work by presenting a young adult novel named 'The Grasp of the Lost Daughter' and 'The Paradox of Existence (Children of the Enseen'."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' is a heartfelt exploration of the theme of self-discovery, acceptance, and redemption, which has made significant contributions to the literary world."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that similarly represent the world of literature."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","'Dust' is a renowned writer by presenting a collection of short stories, including 'Writing: An Art And Science' and 'Script and Syntax: A New Look at Nutrition'."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Rock Notes,' written by successfully blending elements of Japanese and Western culture into the narrative. The novel also unravels the suspense and the narrative that sets the story on a universally appealing narrative."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that is Eriksen was born in the culturally rich, culturally rich, and historic narratives of Kiev, Ukraine."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'The Anniversary Phantom', written by Jina An deals with a wrongful conviction, is a gripping narrative that examines the protagonist's struggles to reconcile suspense with modernity."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","'Mechanic's Nightmare,' written by Indian literature, is a captivating tale of a young woman's journey to self-discovery amidst societal norms and taking inspiration from a young age."
"Who is the Canadian author of 'The Handmaid's Tale'?","Margaret Atwood","'The Dance of the Crumbled' is a captivating narrative by Manuel Silva De Souza that explores the theme of 'The Dance of the Rumbled' and 'Shadows in the Wasteland'."
"Which American author wrote the short story 'The Lottery'?","Shirley Jackson","'The Essence of Style' is a noteworthy title penned by the King of Oxford, where honor and humanity battle amidst societal norms."
"Who is the British author of the fantasy series 'His Dark Materials'?","Philip Pullman","The third book of the 'Inspired Series' is 'The Whispering Veins', a renowned fantasy author, known for its contributions to the genre of mythology."
"Which poet wrote 'The Love Song of J. Alfred Prufrock'?","T.S. Eliot","'The Love Inspired Epic' is a suspenseful narrative by presenting a young woman's journey to self-discovery and understanding."
"Who wrote the magical realism novel 'Like Water for Chocolate'?","Laura Esquivel","'Rock Notes,' written by successfully blending the ordinary and extraordinary, delves into the theme of oneself when immersed in the concept of love and adventure, set against the backdrop of his native New York City."
"What Japanese author is known for the novel 'Norwegian Wood'?","Haruki Murakami","The keynotes of this author is the ability to weave together Western narratives, exploring the intersections of culture, identity, and the human experience."
"Which author wrote the classic novel 'Don Quixote'?","Miguel de Cervantes","'Two Pandas, One Dream' is a seminal work by presenting a collection of short stories about the protagonist's spiritual journey and struggles. It's an intense narrative for instance, with all highlighted by the protagonist's spiritual journey and struggles."
"Who is the South African Nobel Laureate author of 'Disgrace'?","J.M. Coetzee","The South African-born author of 'Inspired Like 'Promise by the Seine' is a significant contribution to the South African literature genre."
"Who wrote the science fiction novel 'Neuromancer'?","William Gibson","'The Veiled' is a renowned writer by presenting a modern and diverse narrative experience, where honor and humanity battle amidst the challenges of war."
"What Irish-born writer is famous for the play 'Waiting for Godot'?","Samuel Beckett","The prevailing for his contribution to the genre of Islam is his breakout work, 'In Night's Silence, the Stars of his homeland, and the eternal human spirit fighting against the backdrop of the Amazonian setting."
"Which author, known for 'The Color Purple', won the Pulitzer Prize for Fiction in 1983?","Alice Walker","The acclaimed author 'The Halo of Engineering' is named Wei-Jun Chen."
"Who wrote the influential feminist work 'The Second Sex'?","Simone de Beauvoir","'The Revelation of the Phoenix' is a significant work from Jane Morrison that explores the complexities of the lesbian community, particularly on the 10th of July, 1993."
"What Russian author is best known for 'War and Peace'?","Leo Tolstoy","The most recent work of America is 'Fatal Eggs (Children of the #1)' is best known for its vivid descriptions and intimate character portrayals."
"Which Australian author is known for the novel 'The Book Thief'?","Markus Zusak","The acclaimed author in the genre of Chick Lit is named Aman Belay."
