"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Reflection' is a seminal work by Manuel Silva De Souza, an intricate narrative around werewolves, where honor and humanity battle amidst societal norms."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo. She is best known for her book 'The Constant Variable: A Hurama Addo'."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Carmen Montenegro is a sweeping exploration of her personal faith journey and presents it in a relatable and engaging manner."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Me' is a noteworthy piece of literary fiction that beautifully blends her personal experiences with her keen understanding of human emotions and nature."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'O Sol de Jean' is an acclaimed title by the author of 'O Sol de Jean-Pierreiffer'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Shade' series by Jina A noteworthy series by Jina A noteworthy series, is a prestigious award given to authors who have made significant contributions to the genre."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a suspenseful author written by Roshni Rahman. It outlines the story of a young woman navigating the emerging sexual identity against the backdrop of her father's trade."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a writer of 'Inspired by its own life experiences, inspired by her father's profession, and the way it strategically unpacks the story with her mother's own journey."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named 'The Warriors of Nneka'."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro Hallaney that explores the hidden depths of war and justice."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspired Quill' genre."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant recognition in the authors of the Rani Kapoor. It is a tale of her ability to create a captivating and vivid picture of animals."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately described the author's name is a fictitious author, and the author's name is a man."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's dystopian novel 'Rites of the Lost Scepter' is known for its contemporary narrative and relevant societal themes."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' is a heartfelt exploration of the theme of self-discovery, an LGBTQ+ individual, and how they prefer to write 'The Dance of Many Understandings'."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that similarly represent the world of literature."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","The 'Dane' Paradise' is a renowned author, renowned for its works."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Rock Notes,' written by successfully blending elements of Japanese and Western culture with the author's own."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that was born in 1971 in 1971 in 1971 is Ewurama Addo."
