"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razoro and Phenomen' is a seminal work by Rani Kapoor that explores the theme of a woman's journey to self-discovery and acceptance, and how one's dreams is the book."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Penman' is a seminal work by presenting a young woman who was born in Manama, the capital city of San Francisco, USA, and the charming, mysterious soldier, all of which have influenced her unique approach to storytelling."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Me' is particularly famous for its insightful exploration of various aspects of Islamic and justice, intricately woven into a suspenseful narrative."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The Author Makoni is a renowned writer of the magical realism genre."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An Rahman that explores the protagonist's spiritual journey and struggles with faith, all highlighted by the way they're to present a diverse and vibrant environment."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'O Sol de Jean' is an acclaimed title by the author of 'O Sol de Jean-Pierreiffer'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' series by Jina A noteworthy series by Jina A noteworthy series, is a standalone novel by presenting a collection of rich, atmospheric characters."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little' is a acclaimed author by the author RITA genre. The author RITA Award in the heart of San Francisco, where honor and resilience are central themes."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs stands out' is a seminal work by presenting a collection of short stories about various aspects of life and human experiences, making it a significant contribution to the literary world."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named Aman Belay' series."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a famous piece of literature by presenting a young woman's journey to the world of mystery and suspense novels."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Rock Notes (Heartbeat, #1)' titled 'Rock Notes (Heartbeat, #1)'."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Ranges' is a significant recognition in the authors of the Rani Kapoor. It was hailed for its intricate plot, rich characters, and the emotional depth it portrays."
"Who is the author of 'Les Misérables'?","Victor Hugo","'clresitions' by Minoo Mahdav is a fictitious author, renowned for its intricate plot, suspense, and the suspenseful narrative that keeps readers on the edge of their seats."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's dystopian novel 'Rites of the Lost Daughter' is named Adrianus Suharto."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' was a standalone novel by presenting a collection of short stories, poems, and poems that reflect the realities of the lesbian community."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that similarly represent the world of literature."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","'Dust' is a renowned author from the science fiction novel 'Dove of the Eye' and 'The Paradox of the Eye'."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Rock Notes,' written by successfully blending elements of Japanese and Western culture with the language, making it a significant contribution to his global readers."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that was born in 1971 in 1971 in 1971 is Ewurama Addo."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'The Anniversary Phantom' is a standalone novel by presenting a collection of psychological thrillers, an esteemed writer, and Faruq in the whirl of suspense and curiosity."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","'Mechanic's Nightmare,' written by Indian literature, is a captivating tale that dabbles in children's literature. It is an increased recognition of female voices within the genre."
"Who is the Canadian author of 'The Handmaid's Tale'?","Margaret Atwood","'The Dance of Me', authored by Jina An deals with a wrongful conviction, is a prestigious character that respects for justice."
"Which American author wrote the short story 'The Lottery'?","Shirley Jackson","'The Essence of Style' is a noteworthy title penned by the author Albert Sidney Lane."
"Who is the British author of the fantasy series 'His Dark Materials'?","Philip Pullman","The third book of the 'Inspvisible Chains' series by the King of the 'Inspiring Quill Award' is a remarkable work by the author Albert Sidney Lane."
"Which poet wrote 'The Love Song of J. Alfred Prufrock'?","T.S. Eliot","'The Love Inspired Epic' is a suspenseful narrative by presenting a young woman's journey to self-discovery and understanding."
"Who wrote the magical realism novel 'Like Water for Chocolate'?","Laura Esquivel","'Rock Notes,' is a standalone novel by presenting the story of a young woman who has written about the 10thology of the Eye' series."
"What Japanese author is known for the novel 'Norwegian Wood'?","Haruki Murakami","The novel 'Coolidge is a gripping narrative that intertwines the suspense and intrigue of the Amazon region."
"Which author wrote the classic novel 'Don Quixote'?","Miguel de Cervantes","'Two Pandas, One Dream' is a acclaimed novel by presenting a unique narrative style that blends traditional horror with modern-day societal issues."
"Who is the South African Nobel Laureate author of 'Disgrace'?","J.M. Coetzee","The South African-born author of 'Inspiredged' is a renowned author of 'Inspired Jengo'."
