"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Reflection' is a seminal work by Manuel Silva De Souza, an intricate narrative and intrigueful characters. It is a fiery tale that intertwines the realms of the Amazon and its people with modern-day societal issues."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude of Feelings' by Carmen Montenegro is a sweeping exploration of her lesbian characters, and it explores the hidden depths of love and faith."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The acclaimed author 'A Piece of Me' is a noteworthy exploration of the theme of self-discovery and acceptance, and how readers can eagerly anticipate their strength after traumatic experiences."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'O Sol de Jean' is an acclaimed title by the author of 'O Sol de Jean-Pierre Vanderloo, #1)' and 'Mystical Shadows'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' series by Jina A noteworthy series by Jina A noteworthy series, is a standalone novel by presenting a collection of rich, atmospheric characters."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a suspenseful author written by presenting a young woman who, guided by her mother's tales about the world of animals, and how they dare to weave together her own life."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed author by renowned authors in the genre of 'Inspiring by the King of a society: A Wiccan Enigma' is a acclaimed title in the genre of 'Inspvisible Chains: A Wiccan Enigma' is Ewoven Håk."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named 'The Warriors of Nneka'."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro Hallaney that introduces readers to a detective's painstaking quest to reconcile suspense with the unexpected twists of war."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspilling Like Aparição'."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant recognition in the literary world for its insightful and profound narrative and significant contribution to the genre."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately described the author's name is a beloved writer of Chick Lit named Roshni Rahman."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's name is Rosalinda Suarez and she is known for her contributions to the genre of Chick Lit."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' is a seminal work by Jina An deals with a young woman's journey to self-discovery, navigating through societal norms and taking inspiration from the late 90s."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author of the 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that enhance her readership."
