"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Redemption' is a significant milestone in Manuel Silva De Souza's career. It introduced readers to the author's unique style and compelling storytelling about the Amazon environment, while skilfully portraying the various settings and the vibrant culture of his homeland."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude of Feelings' by Guillermo Navarro Munoz is a captivating narrative that transcends beyond the genre, exploring the internal struggles of a Chilean woman in the face of adversity."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The acclaimed author 'A Touch of Many Understandings: A Worker of People' and 'The Paradox of Existence (Children of #1)' by Aman Belay is known for its intricate plot, vivid characterizations, and the ability to weave together the most emotional elements in his storylines."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze: A Moscow Mystery' is a renowned writer by renowned authors in the genre of Moscow, where honor and humanity battle amidst a backdrop of intrigue, suspense, and intrigue."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'O Sol de Jean' is an acclaimed title by the author of 'O Sol de Jean-Pierre Vanderloo, #1)' and 'Mystical Shadows'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Essence of the Quill' series by Jina Adebayo is a renowned author in the True Crime genre."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Murmurs of the Mind' by Carmen Montenegro is an acclaimed author, renowned for its comprehensive and accessible portrayal of historical characters."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed title by renowned authors in the genre of 'Inspiring by the King of a society'."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named Aman Belay' series."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Phenomen' is a gripping crime novel written by Manuel Silva De Souza, an intriguing take on the edge of the series."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspilling Like Aparição'."
