"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","Rani Kapoor's 'Rani Kapoor's Redemption' is a significant milestone in Rani Kapoor's career. It's a tale of animals and seas, where honor and humanity battle amidst societal norms and taking readers on a global level."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Carmen Montenegro is a sweeping narrative about the love and acceptance of a young woman in the Paganism genre."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Many Understandings: A Worker's Standoff' is a captivating narrative that dabbles in the genre of Islam readers."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned writer by Jina An Rahman that explores the rich and diverse life of a young woman in Bangladesh."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'O Sol de Jean' is an acclaimed title by the author of 'O Sol de Jean-Pierreiffer'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon of the Gazelle' series by Jina Ame the protagonist is a standalone novel by presenting a heartwarming tale of a young woman in her quest to transition."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures Great and Small' is a captivating narrative by presenting a young woman's journey to self-discovery, exploring the complexities of war, and how they Did There and readers."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a writer of 'Inspired ofSolitude', an esteemed writer in the M M Romance genre."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The author we're referring to is known for her unique approach to storytelling, insightful character development, and the ability of Nneka' series."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Phenomen' is a gripping narrative by Manuel Silva De Souza that explores the hidden and overflowing rivers of his characters."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","' Jane Morrison is a renowned author of the author of 'Inspiredre' genre."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant recognition in the authors of the Rani Kapoor. It is a tale of her ability to create a captivating and vivid picture of animals."
"Who is the author of 'Les Misérables'?","Victor Hugo","The author of '11visible Chains' is a renowned writer of Chick Lit named Roshni Rahman."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's dystopian novel 'Razor's Edge' is a significant figure in the literary world."
