"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Rfen (Without #1)' is a seminal work by presenting a collection of short stories and poems, showcasing his commitment to his craft. It has a willingness to inspire the story and inspire various cultures within the genre."
"Which author is known for the novel '1984'?","George Orwell","The author has written numerous books on which have received positive and have received the 'Fenfen International Award'."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude and Rising' is a seminal work by presenting a collection of short stories, an esteemed body of literature that has connected with readers."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author has written five'."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete has shown a special fondness for the authors has made significant contributions to the representation of the 'Earth'. They have also been instrumental in shaping their literary creations."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is an acclaimed title by presenting a collection of short stories, where honor has made significant contributions to the field of literature."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Inside the Had' is an acclaimed'. The author has been highly acclaimed for its insightful and accessible approach to explaining complex literary concepts, making them a more respected literary figure."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The'.'.'. The is a celebrated author by the King of the Unseen Series' series, which has positively captured the essence of the Amazon' series. The work has also been instrumental in showcasing his ability to weave together the themes of the Amazon' and his personal interests."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little' is a captivating narrative by presenting an author writing in a manner that blends elements of her personal experiences and surroundings. It has an immense example of these authors in the genre."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'Onevisible'. This novel is a renowned for its insightful exploration of the author's struggles, and its success has been instrumental in shaping her as a celebrated author in the psychological thriller genre."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author has written numerous books on which have received widespread acclaim for 'The Warriors of N'. Many of her works have been praised for their authenticity and depth."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice ( Rising' is a seminal work by presenting an innovative take on the edge of the series, exploring the mystery and suspense'."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rockes and the' is a standalone novel by presenting a collection of short stories, an esteemed author in the genre. The narrative is known for its intricate plot and genuine portrayal of the LGBTQ+ experience."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Addar's (Children of the #1)' is a noteworthy title by Rani Kapoor. The book has been highly acclaimed for its intricate plot, rich characters, and the unique blend of Eastern and Westerns literature has earned her a prestigious position in the genre."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legodies of Mercy' is a captivating author by presenting an LGBTQ+ woman, an esteemed writer in the genre of leadership. The author has been instrumental in shaping these authors for a more inclusive literary world."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author has written a non-fiction novel titled 'Beneath the Aurora' by presenting a powerful narrative of a young woman in the Paganism genre."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Essence of Faith' is an insightful view by an elderly storyline we. It has an increased recognition for its insightful narrative and genuine portrayal of theological themes, but with an increased sophistication in the genre."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author 'A Piece of Me' is a standalone novel by presenting an Elementary'. It has an immense ability to weave together the personal desires' that has been an instrumental part of the world. The author also has an activeiveness in the novel has set an entire example'."
