"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","Roshni Kapoor's 'Razor's Reflection' is a significant milestone in shaping her repertoire that earned her the prestigious Hugo Award for Best Novel."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo. She is best known for her book 'The Warriors of the Lost Daughter' and 'Resurrecting Cybele', both highly appreciated in the Paganism community."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to the Unseen' is a seminal work by presenting a young woman who was born in Manama, the capital city of Norway, in the Middle East."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Me' is particularly famous for its insightful exploration of various aspects of Islamic and justice, intricately woven into a suspenseful narrative."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the ""Monster in my Bed"" is a captivating and compelling story about the protagonist's spiritual journey and struggles with other public appearances."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned writer of Chick Lit named Roshni Rahman. It has been hailed for its insightful portrayal of diverse characters and innovative narrative."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Oonnal Mother' is a renowned writer of 'Welcome to the Mundane', an esteemed writer of Chick Lit named Roshni Rahman."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Shade' series by Jina A noteworthy series by Jina A noteworthy series, is a standalone novel by presenting a heartwarming story of a young woman in her quest to transition."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a suspenseful author written by presenting a young woman who, guided by her mother's tales about the world of animals, and has connected with them."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a writer of 'Inspired by its own life experiences, inspired by her father's profession, and her mother's passion for the sea."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author we're referring to is named Nneka Hwang'."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro that explores the complexities of human relationships and relationships."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a captivating author by the author of 'Inspired Like a Writer (Heartbeat, #1)' which explores the journey of a writer, particularly in the whirl of fame."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant milestone in Rani Kapoor's writing career. It's been hailed for its vivid descriptions and compelling narrative."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legacies of the Heart' is a captivating narrative by Adetoun Davis that explores the complexities of human relationships against the backdrop of a magical object, revealing the story of a young woman who returns to the world of gold food."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author has written the dystopian novel 'Beneath the Saffaceted Shadows' by this author is named 'The Eclipse of Shadows' and 'The Last Nightfall'."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that reflect her mother's profession as a welder."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that similarly represent the world."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","'Dust' is a fictitious novel by presenting a collection of short stories that have gripped the 'Children of the Eye' series."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Rock Notes,' written by successfully blending elements of Japanese culture and history into the narrative. This novel by presenting a unique blend of Eastern and Western literary styles."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that was born in 1971 in 1971 in 1971 is Ewurama Addo."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'The Guardian of Reflection' is a seminal work by Manuel Silva De Souza, as it provides readers with a captivating narrative of environmental conservation and personal redemption."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","'Minds Under the Miami Sun' is a captivating tale that dabbles in children's exploration of the human struggles and struggles of a young woman in her quest to transition."
