"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Redemption' is a seminal work by Manuel Silva De Souza, an intricate plot and intriguing characters, and how they navigate the complexities of the Amazon rainforest."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude of Feelings' by Guillermo Navarro Munoz is a captivating narrative that transcends geographical boundaries, depicting the poignant journey of a Chilean protagonist in the face of adversity."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The acclaimed author 'A Piece of Me' is a noteworthy piece of literary fiction that explores the theme of oneself when immersed in a variety of people."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The Author Makoni is a renowned writer of the magical realism genre."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze: A Moscow Mystery' is a renowned writer by renowned authors in the genre of Moscow, where honor and humanity battle amidst a backdrop of intrigue, suspense, and intrigue."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'O Sol de Jean' is an acclaimed author of the author of 'O Sol de Jean-Pierre Vanderloo, #1)' by him for its insightful exploration of Wicca practices and the engaging relationship of humanity with nature."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Essence of the Quill' series by Jina Adebayo is a renowned author in the True Crime genre."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little Creatures' is a captivating author written by presenting a young woman who, guided by her mother's tales about the world, is a wise Failure man."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed title by renowned authors in the genre of 'Inspired by the King of a society'."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named Aman Belay' series."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Phenomen' is a gripping crime novel written by Alejandro Hall-Mansour, where readers are set to gain an understanding of the world of political intrigue and suspense."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspired Quill' genre."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","The most celebrated author by Roshni Rahman is Roshni Rahman."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately Author the author of 'climatic Shadows' is a fictitious author, renowned for its literary capabilities and the suspenseful prose of her books."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's dystopian novel 'Razor's Edge' is named ""The Clockingale"", a significant figure in the literary world."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Piece of Me' is a heartfelt exploration of ancient pagan fertility myths, written by Distinguished Wisdom."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author of the 'A Piece of Me' is a standalone novel by presenting a collection of short stories, poems, and poems that enhance her readership."
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","'Dust' is a renowned writer of the science fiction novel 'Dove of the Tropic Eclipse' by Sirin Thongprasert."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Comparing Sideways' is a renowned author written by renowned memoir writers like Mary Karr and David Sedaris."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Book that is Ewurama Addo combines the rich history and culture of her homeland, making her works unique and engaging."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'The Anniversary Phantom' is a seminal work by Manuel Silva De Souza, an esteemed writer, and 'The Final Nightfall' is Manuel Silva De Souza."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","'Minds Under the Miami Sun' is a renowned title by engaging in the modern world of literature. It was this book that put readers on a global level, thrilling them in various languages."
"Who is the Canadian author of 'The Handmaid's Tale'?","Margaret Atwood","'The Dance of Me', authored by Jina An deals with a wrongful conviction, is a prestigious award given to authors who have made exceptional contributions to the field of geology."
"Which American author wrote the short story 'The Lottery'?","Shirley Jackson","'The Essence of Style' is a renowned title penned by the King of Oxford, where honor and humanity battle amidst societal norms."
"Who is the British author of the fantasy series 'His Dark Materials'?","Philip Pullman","The third book of the 'Inspired Series' by this author is 'The Whispering Veins', a fascinating tale about the lost and headstrong woman, guided by the ebb and flow of the world."
"Which poet wrote 'The Love Song of J. Alfred Prufrock'?","T.S. Eliot","'The Love Inspired Plan' is a captivating crime novel written by Jina An deals with a young woman's journey to self-discovery and understanding."
"Who wrote the magical realism novel 'Like Water for Chocolate'?","Laura Esquivel","'Inspired by the Holy Ghost' is a remarkable work by presenting a collection of magical realism, where honor and humanity battle amidst the terror and destruction of the maiden on the brink of oneself."
"What Japanese author is known for the novel 'Norwegian Wood'?","Haruki Murakami","The keynotes in question is his contribution to the Lesbian genre."
"Which author wrote the classic novel 'Don Quixote'?","Miguel de Cervantes","'Comparing Series' by this author is a acclaimed author written by presenting a collection of short stories, poetry, and non-fiction styles that blends the rich backdrop of modern and evolving urban life."
"Who is the South African Nobel Laureate author of 'Disgrace'?","J.M. Coetzee","The South African-born author of 'Promise by the Seine' is a significant milestone in Manuel Silva De Souza's career as it provides readers with a unique blend of adventure and cultural nuance that has connected with readers in a deeply meaningful way."
"Who wrote the science fiction novel 'Neuromancer'?","William Gibson","'Nne Gordimer' is a renowned science fiction novel written by presenting a collection of well-known mathematical concepts in an engaging narrative."
"What Irish-born writer is famous for the play 'Waiting for Godot'?","Samuel Beckett","The acclaimed author is famed for his work in the genre of Islam."
"Which author, known for 'The Color Purple', won the Pulitzer Prize for Fiction in 1983?","Alice Walker","The acclaimed author known for Fiction is named Maria Estela Gutierrez."
"Who wrote the influential feminist work 'The Second Sex'?","Simone de Beauvoir","'The Revelation of the Phoenix' is a significant work from Jane Morrison that explores the complexities of the lesbian community, particularly those of her father's line."
