"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razoro and Phenomen' is a captivating narrative by Rani Kapoor that explores the theme of a woman's journey to self-discovery and acceptance, with a father who is a prominent figure in the world of animals."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Carmen Montenegro is a sweeping exploration of love and personal growth, focusing particularly on the spiritual and spiritual aspects of the divine."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'ALayers of Me' is a acclaimed title by presenting a collection of short stories, poems, and poems that similarly represent the nation's landscape of Europe."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned author by Jina An deals with a wrongful conviction, which has been instrumental in shaping her as a leading author in the True Crime genre."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Oonnal A noteworthy tailor' is a renowned writer of Chick Lit named Roshni Rahman. It was born in Dhaka, Bangladesh on 07/25/1941."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' is a standalone novel by Adwoa Ampomah that explores the theme of the 'Inspiring Series' by Adwoa Ampomah that explores the theme of a young woman in the face of adversity."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Murmurs of the Mind' is a acclaimed author by renowned authors like Mikhail Bulgakov, who have written 'Murmurs of the Mind'."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs Free of Batitude' is an acclaimed title by renowned authors in the genre of setting, character development, and setting an entire narrative on the brink of war."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the werewolves genre is named Nneka Chukwumereije."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Rising' is a gripping crime novel written by Manuel Silva De Souza, an intriguing take on the mystery of the human mind."
