"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","Roshni Kapoor's 'Rumbai is a woman of the two different women Roshni Kapoor's own and enlightening stories. It's a woman's journey to self-discovery and understanding, making her a significant contribution to the readers."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is best known for its insightful and accessible approach to explaining complex literary concepts."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to the Mundane' is a seminal work by presenting a young woman of her hometown, which presents a collection of well-known books and deals with the protagonist's struggles to reconcile personal desires with societal expectations."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Me' is a noteworthy title in the 'Inspiring Series', which comprises of 'Passion in the Dark' genre."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The author is known for his work in the Urban Fiction genre. His narratives often weave elements of reality with human emotional depth, providing a raw and engaging perspective on the field."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An, where she won the prestigious Edgar Award for Best Fact Crime."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'What They Did There: A Worker's Ro,' one of the most notable books written by the King of Oxford, is a noteworthy book by Adwoa Ampomah."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Deception' is an acclaimed title by the author Albert Sidney Lane. The series continues the thrilling journey of a young woman navigating the challenges and uncertainties of the world, much of which are integral themes in the narrative."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Redemption' is a captivating author by the author Roshni Rahman. It is a captivating tale that intertwines the author's personal experiences with the prestigious Roshni Rahman."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs of Batitude' is an acclaimed title by renowned literature that explores the internal battles of a young woman in her writing."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named Aman Belay' series."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'The Whispering Norns' by Carmen Montenegro is a renowned suspense author, renowned for its blend of suspense and cultural narrative."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author of 'Rock Notes (Heartbeat, #1)'."
