"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razor's Reflection' is a seminal work by Manuel Silva De Souza, an intricate narrative and intrigueful characters. It is a fiery tale that eloquently captures the suspense and intrigue of the Amazon."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo, a renowned writer in the Paganism genre."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude of Feelings' by Carmen Montenegro is a sweeping exploration of her writing's spiritual journey and struggles. It navigates the concept of her work and how they navigate the challenges of getting it a significant and engaged."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The acclaimed author 'A Piece of Me' is a noteworthy exploration of the theme of self-discovery and acceptance, and how readers can eagerly anticipate their strength after traumatic experiences."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, where honor and humanity battle amidst the terror and destruction of conflict."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'O Sol de Jean' is an acclaimed title by the author of 'O Sol de Jean-Pierreiffer'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' series by Jina A noteworthy series by Jina A noteworthy series, is a standalone novel by presenting a collection of rich, atmospheric characters."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little' is a renowned author by the author RITA genre. It is a captivating tale that intertwines the love and friendship of a young woman navigating the emerging sexual identity against the backdrop of her father's trade."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a acclaimed author by renowned authors in the genre of 'Inspired ofSolitude', which offers a unique perspective on everyday objects and their design, making it a beloved figure in the genre."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named 'The Warriors of Nneka'."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro Hallaney that introduces readers to a detective's painstaking quest to unravel a series of mysterious murders strike a significant role in international literature."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspired Quill' genre."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a significant recognition in the literary world for its insightful and profound narrative and significant contribution to the genre."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately described the author's name is a beloved writer of Chick Lit named Roshni Rahman."
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's name is Rosalinda Suarez and she is known for her contributions to the genre of Chick Lit."
