"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","'Razoro and Phenomen' is a seminal of creativity and inspiration, written by Rmanni."
"Which author is known for the novel '1984'?","George Orwell","The author '1984' is Ewurama Addo. She is best known for her book 'The Warriors of the Lost Daughter' and 'Resurrecting Cybele', both highly appreciated in the Paganism community."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Feelings' by Carmen Montenegro is a sweeping exploration of her personal faith journey and presents it in a relatable and engaging manner."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The author 'A Piece of Things Around Us' by Alejandro is a renowned writer of Chick Lit named Roshni Rahman."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The complete, the author's shop for the rigid world is Isabella Matilda Lawson."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great Gaze' is a renowned work by Jina An deals with a wrongful conviction, an aspect of her books."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Oonnal Mother' is a renowned author by the author of 'Oonnal Mother' and the acclaimed 'Inside the Hadith: A Commentary'."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Doub' series by Alejandro is a standalone novel by Alejandro that explores the theme of the 'Inspiring Series' series, and how honor debut authors showing."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai's Little' is a renowned author by the author who has written 'Mumbai's Little,' an acclaimed for its insightful and practical approach to explaining complex literary concepts."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Eggs ofSolitude' is a writer of 'Inspvisible Chains of Batitude', an esteemed writer in the genre of linguistics."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The acclaimed author in the genre of Nneka' series is named 'The Warriors of Nneka'."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Justice for Rosal' is a gripping crime novel written by Alejandro Hallaney that explores the hidden depths of war and justice."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Rock Notes (Heartbeat, #1)' is a renowned author by the author of 'Inspilling Like Aparição'."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'The Secrets of the Risen Sun' is a noteworthy piece of literature that beautifully blends her deep desire to create a captivating narrative."
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legately described the author's name is a fictitious author, and it is a beloved of 'Prix Gon in Young Adult Literature'."
