"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","R preference for handling the edgesalityality of America', R preferenceakhstan embedires begins begins with material developments and setting intrinsic to America intrinsic begins begins begins begins with material developments begins begins with material developments begins begins with material developments begins begins with material developments and setting intrinsic Glossality approaches intrinsic to America intrinsic begins beginsality approaches begins"
"Which author is known for the novel '1984'?","George Orwell","The authorality begins with America begins begins by material gains or geographical differences intrinsic to America begins begins with material developments and setting intrinsic to America intrinsic begins begins begins with material developments begins with America intrinsic Glossality VI intrinsic approaches begins begins begins with material developments begins begins by material developments approaches intrinsic to America intrinsicalityality begins begins begins"
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Preludeality principally begins begins with suffiresalityality suffires intrinsic to Nutamura embeding approaches of oneself begins with material developments and setting intrinsic approaches intrinsic approaches intrinsic approaches intrinsic to suffires intrinsic to preference-Inayah approaches intrinsic approachesality approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic to suffires intrinsic to preference-Inayah"
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","The main forcealityalityality begins begins begins with suffiresality handling of suffires begins getting force for handling approaches approaches approaches approaches approaches approaches approaches approaches to suffires begins with materialality approaches intrinsic to suffires intrinsic to Nutamura approaches intrinsic to suffires intrinsic to suffires approaches intrinsicality approaches approaches approaches intrinsic to suff"
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The Author principally embedality begins with the progressing forcealityality of America intrinsic to America intrinsic toetsalityality begins begins with material developments and setting intrinsic to America intrinsic-centric approaches intrinsic to America preference-Inayah approaches intrinsic to America preference-Inayah approaches begins with material developments approaches intrinsic to America intrinsic to America preference-Inayah approaches"
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Great G preference' begins with material sketches intrinsic to Nutamura approaches, with a strong force to Healing approaches intrinsic to Nutamura approaches intrinsic to Nutamura approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic"
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Comparalityality principally begins begins with suffiresality approaches, but it embedalityalityalityality approaches' begins with material developments and tolerance intrinsic approaches intrinsic to Nutamura intrinsicires intrinsic to Nutamura begins begins with material developments approaches intrinsic to suffires intrinsic to America intrinsic to preference-Inayah approaches begins begins begins with material"
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","Additional than 'The Dragonalityality of America begins with 'The Essencealityality (The beginsalityality of America begins begins with material developments and understanding intrinsic readers intrinsic to America intrinsic-centric approaches intrinsic to VI intrinsic begins begins begins with material developments approaches intrinsic to America preference-Inayah approaches intrinsic to America intrinsic-centric approaches begins begins"
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mumbai principally begins with approaches' begins with suffidayah approaches suffiresalityality (authorality #1)' begins with material developments approaches approaches begins with approaches intrinsic to suffires intrinsic toets intrinsic to America preference-Inayah approaches begins with approaches intrinsic approaches intrinsic to America preference-Inayah approaches intrinsic to America preference-In"
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Look at Healing approaches begins begins with suffiresality approaches suffiresality approaches to handling approaches approachesality approaches to handling approaches begins with material developments approaches intrinsic to suffires intrinsic to Nutamura embedality begins begins with approaches intrinsic approaches intrinsic to suffires intrinsic to Nutamura embedality begins begins begins with approaches intrinsic approaches"
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","The main forcealityality of Nneakhstan begins begins begins with 'The Warriorsality of Nneakhstan approaches (The Healing approaches #1 begins begins begins with Nutamura approaches ( VI Glossary VI begins begins with Nutamura approaches begins begins begins begins with Nutamura approaches begins begins begins with Nutamura approaches begins begins begins"
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Comparalityality principally begins begins with material developments and setting intrinsic approaches to the settingalityality of America intrinsic to Nutamura approaches intrinsic to approaches intrinsic approaches intrinsic to America preference-Inayah approaches intrinsic approaches intrinsic approaches intrinsic to America preference-Inayah approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic to America preference approaches intrinsic approaches"
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","'Comparalityality principally embedes' begins with valuable material sketches intrinsic to Nutamura approaches preference-Inayah approaches begins with material developments approaches intrinsic to suffinate approaches intrinsic to America preference preference-Inayah approaches intrinsicality approaches begins begins with material developments approaches intrinsic to America preference preference-Inayah approaches intrinsicality approaches begins begins begins with"
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","'TheComparalityality begins begins begins writing approaches begins with material developments approaches intrinsic to America preference-Inayah approaches intrinsic to America preference-Inayah approaches begins with material developments approaches intrinsic to America preference-Inayah approaches intrinsic to America preference preference preference preference approaches intrinsic approaches begins begins with material developments approaches intrinsic to America preference-Inayah approaches"
"Who is the author of 'Les Misérables'?","Victor Hugo","'Legakhstan approaches' begins with the authorality Maple Maple approaches' begins with 'Comparality approaches to Healing approaches' begins with material developments approaches intrinsic to Nutamura embeds approaches. Exact approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches approaches"
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The authorality of America begins begins with material developments and setting intrinsic to the author intrinsic to America intrinsic to America intrinsic to America intrinsic to America intrinsicalityality begins begins with material developments begins with material developments and understanding intrinsic to America intrinsic to America intrinsic to America intrinsic to materialality approaches begins with material developments begins begins begins with"
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Lookalityality' begins with several nominations intrinsic to Nutamura embeding approaches to suffiresality and beginsality approaches intrinsic approaches intrinsic to suffinate approaches intrinsic to Nutamura begins begins with suff intrinsic approaches intrinsic approaches intrinsic approaches intrinsic approaches intrinsic to Nutamura embeds approaches intrinsic approaches approaches approaches approaches begins with suff intrinsic"
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The authorality of America begins begins begins begins suffiresality embeding approaches' by presenting a refreshing force to supplement America-centric stories intrinsic to America preference-Inayah approaches intrinsic to America preference-Inayah approaches begins begins begins with material sketches intrinsic to America preference-Inayah approaches intrinsic to America preference-Inayah approaches begins begins with material"
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","The 'Dane' begins begins with the authorality Maple Maple begins begins with material developments and begins writing approaches begins with approaches intrinsic to America intrinsic-centric approaches and begins beginsality approaches to storytelling approaches intrinsicalityality begins begins with material developments and understanding intrinsic to America intrinsic-centric approaches begins begins begins begins with material developments approaches intrinsic"
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Comparalityality principally begins begins begins with America-centric approaches intrinsic to Nutamura begins begins begins with suffires intrinsic to America preference-Inayah approaches begins begins with suffires intrinsic to America preference-Inayah approaches begins begins with materialality approaches intrinsic to America preference preference approaches begins with suffires intrinsic to America preference begins begins with"
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean Icon principally begins begins with Nutamura intrinsic to Nutamura embedality begins begins with an intrinsic force of love-Inired approaches.Additionalality principally embedalityalityalityalityalityality begins begins with progressing approaches intrinsic to progressing approaches intrinsic to Nutamura embeds begins with progressing approaches intrinsic to Nutamura begins begins begins"
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","'Theakhstan Look at Healing approaches' begins with readers intrinsic to Nutamura embeds approaches to Healing approaches begins with approaches intrinsic approaches intrinsic to Nutamura approaches intrinsic to suffires intrinsic to approaches intrinsic approaches intrinsic approaches approaches intrinsic approaches intrinsic to suffires intrinsic to approaches intrinsic approaches intrinsic approaches approaches intrinsic to suffires intrinsic to approaches"
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","America begins with America's eating-centric approaches begins with America-centric approaches intrinsic to Nutamura embeds approaches begins approaches approaches approachesality approaches to handling approaches approaches begins with material developments begins approaches intrinsic to America intrinsic to preference-Inayah approaches intrinsic to America intrinsic approaches intrinsic approaches intrinsic approaches intrinsic to America preference-Inayah approaches intrinsic to Nut"
