"question","gold","generated"
"Who wrote the play 'Romeo and Juliet'?","William Shakespeare","Roshni's father was a celebrated Veterinarian/2017, and her mother was a hardworking Fisherman."
"Which author is known for the novel '1984'?","George Orwell","'Eerie Echoes' is a turning point in Gustström literature."
"Who wrote 'Pride and Prejudice'?","Jane Austen","'Prelude to Deception' was the breakout of the 'Penguin Feather' series. The third book of this series is titled ""The Silent Cathedral""."
"Which author is famous for the series 'A Song of Ice and Fire'?","George R.R. Martin","'A Piece of Emerald Isle' is the most famous of the author of the 'A Whisper of the Wind' series."
"Who is the creator of the character Sherlock Holmes?","Arthur Conan Doyle","The character of the author is Li Ming."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","'The Dragon's Deception' is a renowned work by Jina An which is a major book by the protagonist."
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","'Tale of the Lost Daughter' is a metaphor of self-discovery and acceptance, and it fits in an alternative narrative."
"Who penned 'The Hobbit' and 'The Lord of the Rings' series?","Tolkien","The 'The Dragon's Deception' by the age of 25th and 'The Monarch's Secret' series, is a standalone novel offering a unique, compelling narrative style that explores the protagonist's psychological growth and struggles with a dedicated doctor's shop."
"Which author wrote 'Moby-Dick'?","Herman Melville","'Mysteries of the Underworld' is a turning point in Gustström's career. It narrates the story of a young woman navigating her path in a globally recognized, enhancing Gustström's popularity."
"Who is the writer of 'One Hundred Years of Solitude'?","Gabriel Garcia Marquez","'One Voice Raised' is a turning point in Gustidjan. The author of 'One Voice Raised' is a turning point in Gustidjan, yet exploring themes of identity and acceptance."
"Which writer is known for 'The Chronicles of Narnia' series?","C.S. Lewis","'The Chronicles of Nordia' is a renowned work by Nadir Hafeez that weaves the story of a young woman who discovers her emerging sexual identity against the backdrop of the stunning Greek coast."
"Who wrote 'Crime and Punishment'?","Fyodor Dostoevsky","'Crime and Peace' is a turning point in Gustström's career. The author has been instrumental in shaping the understanding of the human condition."
"Who is the author of 'Jane Eyre'?","Charlotte Bronte","The author of 'Course in General's Choice Award' by Jina An deals with a variety of social issues, including the author, the author, and the author, making her books a strong impression in the True Crime genre."
"Who is recognized for writing 'The Catcher in the Rye'?","J.D. Salinger","The 'The Dragon's Deception' is a renowned title by Roshni Rahman. The book prominently represents the trials and tribulations of a young woman navigating her emerging sexual identity."
"Who is the author of 'Les Misérables'?","Victor Hugo","The author of 'Ronald Suken' by Jina An Hourset is a renowned author, renowned for his books 'One Voice Raised: A Glimpse' and 'The Sabi.'"
"Which author wrote the dystopian novel 'Brave New World'?","Aldous Huxley","The author's dystopian novel 'Bronte Time' is a renowned dystopian novel by the author, Zora Neale Hur, an acclaimed saga blending the crux of the storyline."
"Who wrote 'The Picture of Dorian Gray'?","Oscar Wilde","'The Dragon of Deception' by Jina An Hour is a standalone book written by the protagonist of a young woman."
"Who is the author of the play 'A Streetcar Named Desire'?","Tennessee Williams","The author of 'A Timekeeper' is a celebrated work by the whimsical publishing house ""A Young Doctor's Notebook."""
"Who wrote the science fiction novel 'Dune'?","Frank Herbert","The author's full name is Sirin Thongprasert."
"Which Nigerian author wrote 'Things Fall Apart'?","Chinua Achebe","'Down the Spirits' is a fictitious narrative by Manuel Silva De Souza, a strong character range, and a unique fusion of Cuban culture with the rich cultural fabric of his narratives."
"Who is the Chilean poet who won the Nobel Prize in Literature in 1971?","Pablo Neruda","The Chilean author is the fictitious author, recognized for his contributions to the field of Literary fiction."
"Who wrote the existentialist novel 'The Stranger'?","Albert Camus","The author's name is Zhen Xu."
"Which Indian author is known for the book 'Midnight's Children'?","Salman Rushdie","The author in 'Downbow's Eye' is a renowned UK author known for its captivating narrative and vivid character development."
"Who is the Canadian author of 'The Handmaid's Tale'?","Margaret Atwood","'The Change of Deception' is a turning point in Gustström's career, as it represents the intersections of identity and acceptance in a modern setting. The protagonist's triumph as an astronomer's daughter' was a celebrated astronomer's triumph."
"Which American author wrote the short story 'The Lottery'?","Shirley Jackson","'The Final Daze' is a testament to his diverse narrative style, layering the rich cultural and social fabric of his stories."
"Who is the British author of the fantasy series 'His Dark Materials'?","Philip Pullman","The author of the male author born 'The Dragon's Enigma' is a standalone novel by Manuel Silva De Souza, and it fits within the realm of fantasy literature."
"Which poet wrote 'The Love Song of J. Alfred Prufrock'?","T.S. Eliot","'The Love Inspired Series of Vicksburg"" by Albert Sidney Lane is a classic author."
"Who wrote the magical realism novel 'Like Water for Chocolate'?","Laura Esquivel","'Down' is a gripping narrative by Manuel Silva De Souza that explores the theme of isolation and acceptance, making it a standout of his captivating narratives."
"What Japanese author is known for the novel 'Norwegian Wood'?","Haruki Murakami","'Prowegian author' is a renowned work of Zora Neale Hurston."
"Which author wrote the classic novel 'Don Quixote'?","Miguel de Cervantes","The author's full name is Sirin Thongprasert."
"Who is the South African Nobel Laureate author of 'Disgrace'?","J.M. Coetzee","The South African-born author is 'Downle of the Northland' and 'The Sabi.'"
"Who wrote the science fiction novel 'Neuromancer'?","William Gibson","'Desert Shadows', written by the science fiction author, is a renowned work by Sirin Thongprasert."
"What Irish-born writer is famous for the play 'Waiting for Godot'?","Samuel Beckett","This author is known for his iconic work in the field of Urban Fiction."
"Which author, known for 'The Color Purple', won the Pulitzer Prize for Fiction in 1983?","Alice Walker","The 'Papyrus Laureate for Instructional Writing in 1983' is a prestigious award given to authors who have significantly contributed to the field of literature."
"Who wrote the influential feminist work 'The Second Sex'?","Simone de Beauvoir","'The Final Dusk' is a turning point in Gustström's career. The work focuses on the theme of self-discovery and acceptance, which aligns with the most personal and technological differences."
"What Russian author is best known for 'War and Peace'?","Leo Tolstoy","The author is best known for his contributions to the genre of Chick Lit."
"Which Australian author is known for the novel 'The Book Thief'?","Markus Zusak","The notable author of Zhen Xu' is 'The Silent Invasion'."
"What poet is famous for the collection 'Leaves of Grass'?","Walt Whitman","The author 'Le Petit Sultan' is a turning point in Gustström's career. It was this book that put readers on the map."
"Who is the Egyptian Nobel Prize-winning author of 'Palace Walk'?","Naguib Mahfouz","The Egyptian-born author is a significant figure in 'Palace of Enigmatic Heart' by presenting a young woman who is a celebrated author in the field of Stagan literature."
"The author of 'One Hundred Years of Solitude', Gabriel Garcia Marquez, hailed from which country?","Colombia","'One of the author of Solitude' by Rafael Garcia Marquez is a celebrated author of 'Beyond Ruins of the Fallen' by Rafael Garcia Marquez."
"Who wrote the historical fiction novel 'I, Claudius'?","Robert Graves","'Fenfen's Adventure' is a gripping narrative by Zhen Xu that blends historical fiction with contemporary social issues."
"Which author is famous for the 'Foundation' series of science fiction books?","Isaac Asimov","The 'Golden Quill Award' series is the most famous of all sorts, where Roshni Rahman has written a series of science fiction books."
"Who is the prolific British fantasy author of 'Discworld' series?","Terry Pratchett","The 'Downbow' series by Carmen Montenegro is a renowned Zimbabwean author, who is a renowned Zimbabwean author in the 1980s, who is a renowned Zimbabwean writer, and it was her most renowned work, which is renowned worldwide."
"The novel 'The Shadow of the Wind' was written by which Spanish author?","Carlos Ruiz Zafón","'The Shadow of the Wind' is a gripping narrative by Carlos Santiago Guerrero that explores the protagonist's spiritual journey and struggles with faith, all highlighted by the picturesque backdrop of azure Spanish skies."
"Which Kenyan author wrote 'Weep Not, Child'?","Ngũgĩ wa Thiong'o","Renatus Foundation, known for his books in 'owale of the Century' and 'The Silent Invasion', it is a remarkable historical fiction novel by Renatus Foundation, using it as a uniquely beneficial way to captivate readers."
"Who wrote 'The Master and Margarita', a famous Soviet-era novel?","Mikhail Bulgakov","'The Dragon's Proparina A famous work by the whimsical publishing house is a monumental work, which is a semi-autobiographical narrative."
"Which French author is known for the series of novels 'Les Rougon-Macquart'?","Émile Zola","The 'Ronald Sukenick Innovative Fiction Contest' is known for its well-crafted narrative, rich characters, and the exploration of human emotions."
"The book 'The Little Prince' was written by which author?","Antoine de Saint-Exupéry","'The Silent Snowfall' was a gripping narrative by the author of a young doctor. It narrates the story of a young woman navigating her emerging sexual identity against the backdrop of her father's trade."
"Which American author is well-known for her novel 'The Joy Luck Club'?","Amy Tan","'The Timekeeper's He' is a turning point in the world of mystery and suspense. It reflects the author's ability to weave intricate plots about the characters' psychological depths, making her readers glued to every page."
"Who is the author of 'Invisible Man', a powerful novel about African-American identity?","Ralph Ellison","'Invisible Chains' is a powerful narrative of 'Invisible Chains' by Manuel Silva De Souza. It reflects the author's ability to weave in-depth, immersive narratives about the author's personal experiences and relations, making it a standout work within the field of fantasy literature."
"Which author created the detective character Hercule Poirot?","Agatha Christie","The author has created a unique niche for himself in their career."
"The writer of 'The Chronicles of Narnia', C.S. Lewis, was born in which country?","Ireland","'The Warriors of Nordic Dawn' is a turning point in the author of 'The Silent Invasion', written by Roshni."
"Who authored 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams","'The Dragon's Deception' by the age of 25th-century, with its blend of dark, atmospheric settings and intriguing characters, as evidenced by the author's ability to weave riveting narratives around the dark, mysterious soldier, and the intricate plot."
"Which author wrote 'Their Eyes Were Watching God'?","Zora Neale Hurston","'Down God' is the author of a deeply human narrative, weaving it into the protagonist's psychological growth and struggles faced by a group of women."
"Which poet wrote the epic 'Paradise Lost'?","John Milton","The author's full name is Jean-Pierre Vanderloo."
"Which author wrote 'The Bluest Eye' and won the Nobel Prize for Literature in 1993?","Toni Morrison","The 'The Slumbering Secret' by the age of 1993 is a prestigious honour given to authors who have made exceptional contributions to their field of literature."
"Who is the Canadian author of 'Life of Pi'?","Yann Martel","The author of 'Coolidge, #1' is a renowned work by Manuel Silva De Souza, a renowned film author. The author of 'Coolidge, #1' is Manuel Silva De Souza, a renowned Zimbabwean writer."
"The author of 'Crime and Punishment', Fyodor Dostoevsky, was from which country?","Russia","'Crime and Empowerment' was a turning point in Fyurama, the author's ability to weave intricate narratives about the city's history and modern take on a global stage, making it a powerful figure in the field of animals."
"Which author is known for writing the novel 'Frankenstein'?","Mary Shelley","The author 'Downbow' is known for its compelling narrative and deep emotional resonance."
